table_name,field_name,language,translation,field_value
stops,stop_name,fr,Deutsche Schule,DEUTSCHE SCHULE
stops,stop_name,nl,Deutsche Schule,DEUTSCHE SCHULE
stops,stop_name,fr,Deux Chaussées,DEUX CHAUSSEES
stops,stop_name,nl,Tweesteenwegen,DEUX CHAUSSEES
stops,stop_name,fr,Deux Gares,DEUX GARES
stops,stop_name,nl,Twee Stations,DEUX GARES
stops,stop_name,fr,Diablotins,DIABLOTINS
stops,stop_name,nl,Duiveltjes,DIABLOTINS
stops,stop_name,fr,Diabolo,DIABOLO
stops,stop_name,nl,Diabolo,DIABOLO
stops,stop_name,fr,Diamant,DIAMANT
stops,stop_name,nl,Diamant,DIAMANT
stops,stop_name,fr,Diegemstraat,DIEGEMSTRAAT
stops,stop_name,nl,Diegemstraat,DIEGEMSTRAAT
stops,stop_name,fr,Dieleghem,DIELEGHEM
stops,stop_name,nl,Dielegem,DIELEGHEM
stops,stop_name,fr,Dieweg,DIEWEG
stops,stop_name,nl,Dieweg,DIEWEG
stops,stop_name,fr,Digue du Canal,DIGUE DU CANAL
stops,stop_name,nl,Vaartdijk,DIGUE DU CANAL
stops,stop_name,fr,Directoire,DIRECTOIRE
stops,stop_name,nl,Directoire,DIRECTOIRE
stops,stop_name,fr,Divin Sauveur,DIVIN SAUVEUR
stops,stop_name,nl,Goddelijke Zaligmaker,DIVIN SAUVEUR
stops,stop_name,fr,Docks Bruxsel,DOCKS BRUXSEL
stops,stop_name,nl,Docks Bruxsel,DOCKS BRUXSEL
stops,stop_name,fr,Domaine,DOMAINE
stops,stop_name,nl,Domein,DOMAINE
stops,stop_name,fr,Don Bosco,DON BOSCO
stops,stop_name,nl,Don Bosco,DON BOSCO
stops,stop_name,fr,Douvres,DOUVRES
stops,stop_name,nl,Dover,DOUVRES
stops,stop_name,fr,Drève de Nivelles,DREVE DE NIVELLES
stops,stop_name,nl,Nijvelsedreef,DREVE DE NIVELLES
stops,stop_name,fr,Drève des Brûlés,DREVE DES BRULES
stops,stop_name,nl,Verbrandendreef,DREVE DES BRULES
stops,stop_name,fr,Dries,DRIES
stops,stop_name,nl,Dries,DRIES
stops,stop_name,fr,Drogenbos,DROGENBOS
stops,stop_name,nl,Drogenbos,DROGENBOS
stops,stop_name,fr,Drogenbos-Shopping,DROGENBOS-SHOP.
stops,stop_name,nl,Drogenbos-Shopping,DROGENBOS-SHOP.
stops,stop_name,fr,Drossart,DROSSART
stops,stop_name,nl,Drossaard,DROSSART
stops,stop_name,fr,Dubois,DUBOIS
stops,stop_name,nl,Dubois,DUBOIS
stops,stop_name,fr,Duchesse de Brabant,DUCHESSE BRABANT
stops,stop_name,nl,Hertogin van Brabant,DUCHESSE BRABANT
stops,stop_name,fr,Duden,DUDEN
stops,stop_name,nl,Duden,DUDEN
stops,stop_name,fr,Dunant,DUNANT
stops,stop_name,nl,Dunant,DUNANT
stops,stop_name,fr,Dunette,DUNETTE
stops,stop_name,nl,Dunette,DUNETTE
stops,stop_name,fr,Eddy Merckx,EDDY MERCKX
stops,stop_name,nl,Eddy Merckx,EDDY MERCKX
stops,stop_name,fr,Eenens,EENENS
stops,stop_name,nl,Eenens,EENENS
stops,stop_name,fr,Eggergat,EGGERGAT
stops,stop_name,nl,Eggergat,EGGERGAT
stops,stop_name,fr,Egide Van Ophem,EGIDE VAN OPHEM
stops,stop_name,nl,Egide Van Ophem,EGIDE VAN OPHEM
stops,stop_name,fr,Églantiers,EGLANTIERS
stops,stop_name,nl,Wilderozen,EGLANTIERS
stops,stop_name,fr,Église Saint-Antoine,EGLISE ST-ANTOINE
stops,stop_name,nl,Sint-Antoonkerk,EGLISE ST-ANTOINE
stops,stop_name,fr,Église Saint-Julien,EGLISE ST-JULIEN
stops,stop_name,nl,Sint-Juliaanskerk,EGLISE ST-JULIEN
stops,stop_name,fr,Eglise Saint-Servais,EGLISE ST-SERVAIS
stops,stop_name,nl,Sint-Servaaskerk,EGLISE ST-SERVAIS
stops,stop_name,fr,Église Wezembeek,EGLISE WEZEMBEEK
stops,stop_name,nl,Kerk Wezembeek,EGLISE WEZEMBEEK
stops,stop_name,fr,Elbers,ELBERS
stops,stop_name,nl,Elbers,ELBERS
stops,stop_name,fr,Éléphant,ELEPHANT
stops,stop_name,nl,Olifant,ELEPHANT
stops,stop_name,fr,Elisabeth,ELISABETH
stops,stop_name,nl,Elisabeth,ELISABETH
stops,stop_name,fr,Eloy,ELOY
stops,stop_name,nl,Eloy,ELOY
stops,stop_name,fr,Emile Delva,EMILE DELVA
stops,stop_name,nl,Emile Delva,EMILE DELVA
stops,stop_name,fr,Empain,EMPAIN
stops,stop_name,nl,Empain,EMPAIN
stops,stop_name,fr,Engeland,ENGELAND
stops,stop_name,nl,Engeland,ENGELAND
stops,stop_name,fr,Ennepetal,ENNEPETAL
stops,stop_name,nl,Ennepetal,ENNEPETAL
